Date,Target,Food,Housing,Transport,Clothing
2017-07-01,106.29,105.47,106.91,102.64,108.71
2017-07-02,106.37,105.32,107.29,102.01,108.92
2017-07-03,107.54,107.49,107.7,103.34,109.19
2017-07-04,109.04,109.91,108.76,104.76,109.83
2017-07-05,109.83,110.96,109.48,106.16,110.94
2017-07-06,109.68,109.78,110.1,107.09,111.6
2017-07-07,109.6,108.06,111.23,109.7,112.67
2017-07-08,109.11,106.13,111.16,111.52,113.28
2017-07-09,109.25,105.39,111.31,115.62,113.78
2017-07-10,109.95,105.98,112.15,114.53,114.86
2017-07-11,110.33,106.01,112.43,115.56,116.18
2017-07-12,111.45,107.54,112.96,118.14,117.39
2018-07-01,113.31,109.4,117.59,120.91,117.87
2018-08-01,112.97,109.07,116.12,121.16,118.02
2018-09-01,113.01,108.66,116.8,120.28,118.23
2018-10-01,115.23,112.02,119.21,122.14,118.53
2018-11-01,115.03,111,117.34,125.47,119.72
2018-12-01,114.7,109.2,118.23,125.65,119.89
2019-01-01,114.67,109.1,118.45,122.32,120.79
2019-02-01,115.67,111.23,118.6,122.08,121.23
2019-03-01,118.21,115.37,120.91,125.23,121.64
2019-04-01,118.89,116,119.6,128.84,123.03
2019-05-01,119.45,116.75,118.05,135.43,124.16
2019-06-01,120.3,117.5,118.9,138.09,124.43
2019-07-01,122.22,119.15,119.99,139.88,126.75
2019-08-01,124.56,122.83,120.36,142.48,128.27
2019-09-01,125.55,125.24,120.06,139.97,128.76
2019-10-01,128.28,128.88,125,140.13,129.97
2019-11-01,130.67,133.58,125.49,140.8,131.4
2019-12-01,130.27,131.96,126.06,142.07,133.17
2020-01-01,133.44,136.94,129.64,143.36,133.17
2020-02-01,132.12,134.17,126.2,144.02,134.33
2020-03-01,131.99,133.59,127.38,138.06,136.59
2020-04-01,130.58,130.87,127.99,131.78,136.59
2020-05-01,131.03,132.78,128.66,123.25,138.3
2020-06-01,132.36,135.66,129.3,122.26,139.64
2020-07-01,136.36,141.49,126.58,134.53,141.36
2020-08-01,136.84,139.97,128.98,138.18,141.86
2020-09-01,139.51,145.2,128.93,137.96,142.32
2020-10-01,142.79,152.5,129.57,138.56,143.15
2020-11-01,144.34,155.84,129.97,135.81,144.38
2020-12-01,142.65,149.78,132.24,137.44,145.7
2021-01-01,142.23,145.94,135.5,140.17,147.45
2021-02-01,143.82,146.1,141.76,142.24,147.93
2021-03-01,144.55,148.6,139.19,141.43,149.87
2021-04-01,145.37,150.1,139.18,139.78,151.38
2021-05-01,145.32,150.35,137.22,139.88,152.15
2021-06-01,145.24,148.93,138.05,141.17,152.58
2021-07-01,147.28,151.64,140.05,146.61,153.2
2021-08-01,148.34,152.96,141.47,147.74,153.41
2021-09-01,151.74,159.22,143.9,149.28,154.03
2021-10-01,155.15,163.49,147.72,157.09,154.9
2021-11-01,160.03,169.33,152.66,166.14,158.97
2021-12-01,159.21,163.09,157.61,168.37,160.44
